GENESIS-Tabelle: 12411-0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortschreibung des Bevölkerungsstandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevölkerungsstand (Anzahl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Baden-Württemberg,Baden-Württemberg,Baden-Württemberg,Bayern,Bayern,Bayern,Berlin,Berlin,Berlin,Brandenburg,Brandenburg,Brandenburg,Bremen,Bremen,Bremen,Hamburg,Hamburg,Hamburg,Hessen,Hessen,Hessen,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen,Niedersachsen,Nordrhein-Westfalen,Nordrhein-Westfalen,Nordrhein-Westfalen,Rheinland-Pfalz,Rheinland-Pfalz,Rheinland-Pfalz,Saarland,Saarland,Saarland,Sachsen,Sachsen,Sachsen,Sachsen-Anhalt,Sachsen-Anhalt,Sachsen-Anhalt,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,Thüringen,Thüringen,Thüringen
,,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt
2016-12-31,37-Jährige,66912,66252,133164,81525,80324,161849,26961,25798,52759,15752,14735,30487,4356,3926,8282,13441,13449,26890,38450,38962,77412,10521,9179,19700,44485,44570,89055,103173,104923,208096,23250,22951,46201,5395,5491,10886,27272,23683,50955,13762,11908,25670,15734,16394,32128,13928,12202,26130
2016-12-31,38-Jährige,65641,64423,130064,79996,79270,159266,25863,24310,50173,15715,15024,30739,4171,3829,8000,13198,12856,26054,37911,38494,76405,10399,9221,19620,44534,44373,88907,102218,103746,205964,22919,22709,45628,5216,5373,10589,27015,23995,51010,13649,11985,25634,15977,16290,32267,13443,11827,25270
2016-12-31,39-Jährige,65305,64207,129512,80162,78453,158615,24896,23723,48619,15251,14544,29795,4076,3924,8000,13002,12501,25503,37284,38327,75611,10153,8825,18978,44293,44110,88403,102981,103458,206439,22413,22811,45224,5280,5427,10707,26457,23211,49668,13118,11550,24668,15912,16366,32278,13213,11638,24851
2016-12-31,40-Jährige,65544,64067,129611,78886,77904,156790,23659,22675,46334,14025,13279,27304,4106,3950,8056,12613,12562,25175,37492,38275,75767,8852,7752,16604,44367,44541,88908,102720,104398,207118,22319,22373,44692,5174,5142,10316,23347,20991,44338,11747,10304,22051,15913,16541,32454,11825,10534,22359
2016-12-31,41-Jährige,64071,63360,127431,77385,76674,154059,22696,21391,44087,13497,12613,26110,3999,3878,7877,12042,11761,23803,36830,36923,73753,8382,7343,15725,43704,43402,87106,100493,101727,202220,22138,22186,44324,5084,4964,10048,22497,19818,42315,11339,9759,21098,15709,16101,31810,11378,9979,21357
2016-12-31,42-Jährige,65143,65234,130377,78519,78197,156716,22032,20804,42836,13073,12578,25651,4028,3740,7768,12113,11596,23709,37461,37561,75022,8229,7267,15496,44686,45215,89901,101580,103569,205149,22084,22671,44755,5076,5144,10220,22314,19433,41747,11396,10263,21659,15845,16234,32079,11803,10296,22099
2016-12-31,43-Jährige,64974,64854,129828,78292,77709,156001,21106,20387,41493,13349,12957,26306,4007,3851,7858,11543,11576,23119,37555,37917,75472,8414,7554,15968,45695,46336,92031,103019,104910,207929,22665,23069,45734,5103,5196,10299,22578,19748,42326,11969,10573,22542,16377,16822,33199,12144,10775,22919
2016-12-31,44-Jährige,70294,70033,140327,84439,84122,168561,22179,20953,43132,15116,14147,29263,4245,4067,8312,12203,11786,23989,40208,40542,80750,9118,8341,17459,50321,50228,100549,111917,112914,224831,24526,25278,49804,5666,5756,11422,24724,21585,46309,13669,12276,25945,17794,18409,36203,13933,11989,25922
2016-12-31,45-Jährige,76257,74933,151190,91589,90632,182221,24357,23036,47393,17671,16671,34342,4455,4362,8817,12984,12524,25508,43632,43695,87327,10641,9590,20231,55212,55602,110814,122355,123644,245999,27203,27479,54682,6227,6432,12659,28777,25365,54142,16238,14541,30779,20042,20526,40568,15481,13657,29138
2016-12-31,46-Jährige,79040,78043,157083,95303,94074,189377,24548,23406,47954,17787,17202,34989,4755,4436,9191,13288,12796,26084,45571,45503,91074,10678,9976,20654,57810,58315,116125,128694,128626,257320,28653,28743,57396,6499,6551,13050,28600,25564,54164,16080,14995,31075,21183,21303,42486,15559,14161,29720
2016-12-31,47-Jährige,85165,83241,168406,103643,100848,204491,25795,24291,50086,18512,18064,36576,5045,4750,9795,13866,13291,27157,49346,48481,97827,11083,10423,21506,63240,62743,125983,141186,140665,281851,31108,31120,62228,7274,7375,14649,28429,26002,54431,16595,15549,32144,23547,23654,47201,15608,14392,30000
2016-12-31,48-Jährige,88920,87306,176226,108264,104694,212958,26875,25631,52506,19507,19164,38671,5305,5099,10404,14906,14108,29014,51969,50570,102539,11742,11218,22960,66658,65794,132452,147800,147011,294811,33204,32823,66027,7763,7917,15680,28871,26694,55565,17063,15981,33044,25009,25272,50281,15798,14835,30633
2016-12-31,49-Jährige,91291,88695,179986,110527,107542,218069,27044,25742,52786,20702,20219,40921,5397,5102,10499,15009,14306,29315,52577,51534,104111,12164,11976,24140,68401,68253,136654,151945,150159,302104,33838,33947,67785,8131,8109,16240,29722,27670,57392,17648,16877,34525,25948,26045,51993,16134,15604,31738
2016-12-31,50-Jährige,93311,90647,183958,111265,108356,219621,27796,27206,55002,22110,21831,43941,5597,5243,10840,14962,14484,29446,53676,52490,106166,13213,12889,26102,70202,69016,139218,155548,153539,309087,35640,34807,70447,8516,8466,16982,31137,29724,60861,18449,17565,36014,26033,26289,52322,17387,16563,33950
2016-12-31,51-Jährige,93121,89903,183024,111186,106997,218183,28902,27695,56597,23340,22589,45929,5519,5280,10799,14471,13943,28414,53640,52683,106323,14091,13594,27685,69672,68007,137679,154899,152680,307579,35497,35052,70549,8488,8812,17300,32516,30854,63370,19156,18582,37738,25457,25975,51432,17813,17339,35152
2016-12-31,52-Jährige,94407,91217,185624,111866,109351,221217,29088,28352,57440,24434,23407,47841,5512,5229,10741,14553,14143,28696,54207,52679,106886,14802,14354,29156,69573,68965,138538,156960,154416,311376,36292,35810,72102,8747,9052,17799,33335,32661,65996,19877,19494,39371,26070,25961,52031,18853,18284,37137
2016-12-31,53-Jährige,93051,90076,183127,109675,108262,217937,28931,28152,57083,25092,24381,49473,5242,5270,10512,13814,13670,27484,53077,51937,105014,15367,15025,30392,68728,67807,136535,153480,151730,305210,36420,35681,72101,8871,8991,17862,34060,32845,66905,20634,20048,40682,25008,25416,50424,19108,18883,37991
2016-12-31,54-Jährige,89595,87307,176902,105756,105039,210795,27432,26816,54248,24896,24108,49004,5134,5161,10295,12856,12791,25647,50681,50014,100695,15321,14991,30312,65917,65777,131694,146616,145935,292551,35184,35044,70228,8819,8902,17721,33369,32356,65725,20074,20175,40249,23963,24271,48234,18895,18719,37614
2016-12-31,55-Jährige,87037,86427,173464,104331,103405,207736,25808,25735,51543,24389,23906,48295,4913,4912,9825,12206,12297,24503,49026,49069,98095,15567,15185,30752,65187,64940,130127,142925,143955,286880,34886,34869,69755,9070,8881,17951,32840,32714,65554,20186,20046,40232,23178,23721,46899,19419,19378,38797
2016-12-31,56-Jährige,83932,84090,168022,99748,99033,198781,24986,24179,49165,23314,23150,46464,4767,4796,9563,11948,11845,23793,47214,47248,94462,15019,15013,30032,62170,62253,124423,139179,140883,280062,33446,34023,67469,8566,8725,17291,31566,31384,62950,19711,19369,39080,22081,22576,44657,18472,18434,36906
2016-12-31,57-Jährige,80510,80383,160893,96285,95741,192026,23604,23402,47006,23002,22353,45355,4537,4776,9313,11217,11307,22524,45698,45860,91558,14596,14643,29239,60128,60468,120596,135097,137354,272451,32679,32486,65165,8870,8648,17518,31122,31367,62489,18945,19277,38222,21386,21955,43341,18481,18378,36859
2016-12-31,58-Jährige,76325,76368,152693,91135,91103,182238,21543,21593,43136,20924,20598,41522,4362,4568,8930,10523,10821,21344,43217,43396,86613,13784,13744,27528,56567,56883,113450,128047,130073,258120,30703,30989,61692,8399,8400,16799,28494,29171,57665,17885,17981,35866,20147,20527,40674,17136,17178,34314
