GENESIS-Tabelle: 12613-0006;;;
Gestorbene: Deutschland; Monate; Geschlecht;
Statistik der Sterbefälle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;;männlich;weiblich
2000;Januar;38243;45598
2000;Februar;35118;42189
2000;März;33845;39286
2000;April;31687;36598
2000;Mai;31261;35569
2000;Juni;30591;34629
2000;Juli;30446;34561
2000;August;30644;34960
2000;September;29927;33760
2000;Oktober;31828;36754
2000;November;31834;36716
2000;Dezember;33557;39196
2001;Januar;34352;40476
2001;Februar;30166;35514
2001;März;33449;39844
2001;April;31951;37170
2001;Mai;32352;37032
2001;Juni;30716;34524
2001;Juli;31991;36526
2001;August;30956;35873
2001;September;30095;34373
2001;Oktober;31714;36586
2001;November;31725;36727
2001;Dezember;34420;40009
2002;Januar;34786;41236
2002;Februar;30464;35633
2002;März;34370;40630
2002;April;33256;38505
2002;Mai;31976;37058
2002;Juni;30887;35708
2002;Juli;31472;35563
2002;August;31178;36081
2002;September;29812;34139
2002;Oktober;32907;38177
2002;November;32276;37300
2002;Dezember;35732;42540
2003;Januar;36267;42849
2003;Februar;33225;39116
2003;März;38378;45119
2003;April;32633;37511
2003;Mai;32165;36060
2003;Juni;30886;35143
2003;Juli;31697;36436
2003;August;33534;40233
2003;September;30302;34217
2003;Oktober;32216;36590
2003;November;31153;35802
2003;Dezember;33814;38600
2004;Januar;34952;40380
2004;Februar;31521;36779
2004;März;33989;39299
2004;April;31597;36041
2004;Mai;31262;35270
2004;Juni;30450;34027
2004;Juli;30711;34444
2004;August;30616;35168
2004;September;30105;33405
2004;Oktober;32301;36105
2004;November;31490;35337
2004;Dezember;34394;38628
2005;Januar;34348;39213
2005;Februar;33263;39012
2005;März;37788;45483
2005;April;31986;36259
2005;Mai;32650;36678
2005;Juni;30471;34014
2005;Juli;30611;34114
2005;August;30375;33700
2005;September;29433;32828
2005;Oktober;31728;35305
2005;November;31623;35716
2005;Dezember;34278;39351
2006;Januar;34438;39792
2006;Februar;31074;35719
2006;März;34407;39273
2006;April;31870;36235
2006;Mai;32254;35583
2006;Juni;31027;35150
2006;Juli;33915;38949
2006;August;30416;34361
2006;September;30188;34314
2006;Oktober;31574;34391
2006;November;31512;34776
2006;Dezember;33265;37144
